id,room_name,group,location,address,department
4,屏蔽机房,1,资源中心,深圳市城市数字资源中心,IDC部
2,灾备中心,1,灾备中心,深圳市信息网络中心,IDC部
10,龙岗区委汇聚机房,2,龙岗区委,深圳市龙岗区委,网络部
14,劳动局汇聚机房,2,劳动局,深圳市劳动局,网络部
17,福田区委汇聚机房,2,福田区委,深圳市福田区委,网络部
6,灾备中心外网,2,灾备中心,深圳市信息网络中心,网络部
11,盐田区委汇聚机房,2,盐田区委,深圳市盐田区委,网络部
19,工商物价大厦汇聚机房,2,工商物价大厦,深圳市工商物价大厦,网络部
22,天平大厦汇聚机房,2,天平大厦,深圳市天平大厦,网络部
9,资源中心外网,2,资源中心,深圳市城市数字资源中心,网络部
16,120急救中心汇聚机房,2,急救中心,深圳市120急救中心,网络部
21,税务局汇聚机房,2,市水务局,深圳市水务局,网络部
1,资源中心,1,资源中心,深圳市城市数字资源中心,IDC部
3,负一楼UPS机房,1,深圳市委,中共深圳市委员会,IDC部
7,市委外网,2,深圳市委,中共深圳市委员会,网络部
20,交通局汇聚机房,2,交通局,深圳市交通局,网络部
26,高新区汇聚机房,2,高新区,深圳市高新园,网络部
27,宝安区汇聚机房,2,宝安区,深圳市宝安区委,网络部
25,深圳大学汇聚机房,2,深圳大学,深圳市深圳大学,网络部
23,市检察院汇聚机房,2,市检察院,深圳市检察院,网络部
8,市民中心外网,2,市民中心,深圳市市民中心,网络部
18,无委大厦汇聚机房,2,无委大厦,深圳市无线电委员会,网络部
13,医学信息中心汇聚机房,2,医学中心,深圳市医学信息中心,网络部
12,碧波中学汇聚机房,2,碧波中学,深圳市碧波中心,网络部
24,司法局汇聚机房,2,司法局,深圳市司法局,网络部
15,罗湖区委汇聚机房,2,罗湖区委,深圳市罗湖区委,网络部
5,平台外网,2,外网,深圳市信息网络中心,网络部
28,市民中心,2,市民中心,深圳市市民中心,网络部
29,灾备中心,2,灾备中心,深圳市信息网络中心,网络部
30,资源中心,2,资源中心,深圳市城市数字资源中心,网络部
