department,system,maintenance,machine_room,address,cabinet,name,model,producer,type,serial_number,power_supply,versions,manage_ip,,remarks,heap_number,grade,form
网络部,市民中心,在维,电子资源中心1楼IDC,深圳市城市数字资源中心,W07,F5020_O-Zyzx-FW-3,H3C SecPath F5020,H3C,网络,210231A2ERX16C001428/210235A1D5H16B000032,双路,"Version 7.1.064, Release 9310P12",10.210.253.243,,,2,一级,外网
网络部,市民中心,在维,电子资源中心1楼IDC,深圳市城市数字资源中心,W07,F5020_O-Zyzx-FW-3,H3C SecPath F5020,H3C,网络,210231A2ERX16C001428/210235A1D5H16B000032,双路,"Version 7.1.064, Release 9310P12",10.210.253.243,,,2,一级,外网
网络部,市民中心,在维,电子资源中心1楼IDC,深圳市城市数字资源中心,B18,O-A-zyzx-S16,Quidway S5300,华为,网络,210231A2ERX16C001428/210235A1D5H16B000032,单路,Version 5.30 (S5300 V100R002C02B181SPC001),10.210.254.16,,,1,二级,外网
网络部,市民中心,在维,屏蔽机房,深圳市城市数字资源中心,K01,P-A-zyzx-4, S5352C-EI,华为,网络,2.10E+19,单路,Version 5.70 (S5300 V100R005C01),10.210.254.233,,,1,四级,外网
网络部,市民中心,在维,屏蔽机房,深圳市城市数字资源中心,K01,P-A-zyzx-3, S5352C-EI,华为,网络,2.10E+19,单路,Version 5.70 (S5300 V100R005C01),10.210.254.235,,,2,四级,外网
网络部,市民中心,在维,屏蔽机房,深圳市城市数字资源中心,K01,P-A-zyzx-3, S5352C-EI,华为,网络,2.10E+19,单路,Version 5.70 (S5300 V100R005C01),10.210.254.235,,,2,四级,外网
网络部,市民中心,在维,市民中心中区,深圳市市民中心,工展馆11楼,O-11FD1M,S5730-68C-SI-AC,华为,网络,21980107133GK6000459/21980107133GK6000167/21980107133GK6000187,单路,Version 5.170 (S5730 V200R011C10SPC600),203.175.149.51,,,3,四级,外网
网络部,市民中心,在维,市民中心中区,深圳市市民中心,工展馆11楼,O-11FD1M,S5730-68C-SI-AC,华为,网络,21980107133GK6000459/21980107133GK6000167/21980107133GK6000187,单路,Version 5.170 (S5730 V200R011C10SPC600),203.175.149.51,,,3,四级,外网
网络部,市民中心,在维,市民中心中区,深圳市市民中心,工展馆11楼,O-11FD1M,S5730-68C-SI-AC,华为,网络,21980107133GK6000459/21980107133GK6000167/21980107133GK6000187,单路,Version 5.170 (S5730 V200R011C10SPC600),203.175.149.51,,,3,四级,外网
网络部,资源中心,在维,电子资源中心IDC机房,深圳市城市数字资源中心,N02,I-R-zyzx-2,S5328C-EI-24S,华为,网络,21980107133GK6000459/21980107133GK6000167/21980107133GK6000187,,Version 5.30 (S5300 V100R002C02B181SPC001),172.92.253.61 ,,华为已在处理维保信息,1,一级,办公网
