department,system,maintenance,machine_room,address,cabinet,name,model,producer,type,serial_number,power_supply,versions,manage_ip,,remarks,heap_number,grade,form
大数据部,中心机房,,中心机房-B13,深圳市市民中心,B13-2,HP DL388E GEN8,HP DL388E GEN8,,服务器,CN7304014L,,,,,,,,
大数据部,中心机房,,中心机房-B13,深圳市市民中心,B13-3,锐捷S3760E,锐捷S3760E,,网络,2590DH8180769,,,,,,,,
大数据部,中心机房,,中心机房-B13,深圳市市民中心,B13-4,联想RD540,联想RD540,,服务器,NC01369873,,,,,,,,
大数据部,中心机房,,中心机房-B13,深圳市市民中心,B13-6,IBM X3850,IBM X3850,,服务器,99A6164,,,,,,,,
大数据部,中心机房,,中心机房-B14,深圳市市民中心,B14-1,DELL R820,DELL R820,,服务器,HWH5S12,,,,,,,,
大数据部,中心机房,,中心机房-B14,深圳市市民中心,B14-2,IBM X3650 M4,IBM X3650 M4,,服务器,06YPWG9,,,,,,,,
大数据部,中心机房,,中心机房-B14,深圳市市民中心,B14-3,IBM X3650 M4,IBM X3650 M4,,服务器,06YGME1,,,,,,,,
大数据部,市民中心,,中心机房-B15,深圳市市民中心,B15-1,华为RH5885H V3,华为RH5885H V3,,服务器,2102310SFR10E4000024,,,,,,,,
大数据部,中心机房,,中心机房-B15,深圳市市民中心,B15-2,HP 380 G5,HP 380 G5,,服务器,CNG926S4ZJ,,,,,,,,
大数据部,中心机房,,中心机房-B15,深圳市市民中心,B15-4,H3C S3600交换机,H3C S3600交换机,,网络,210235A10RH094000206,,,,,,,,
大数据部,中心机房,,中心机房-B16,深圳市市民中心,B16-2,华为5300,华为5300,,服务器,2.10232E+19,,,,,,,,
大数据部,中心机房,,中心机房-B16,深圳市市民中心,B16-3,合众AS,合众AS,,服务器,VPR2510N012070010,,,,,,,,
大数据部,市民中心,,,深圳市市民中心,B16-5,合众AS,合众AS,,服务器,PR2510N201030122,,,,,,,,
大数据部,市民中心,,,深圳市市民中心,B16-6,合众AS,合众AS,,服务器,PR2510N2012030125,,,,,,,,
大数据部,中心机房,,中心机房-B17,深圳市市民中心,B17-1,IBM X3650 M4,IBM X3650 M4,,服务器,06NWRD5,,,,,,,,
大数据部,中心机房,,中心机房-B17,深圳市市民中心,B17-2,HP DL360 G7,HP DL360 G7,,服务器,CNG103TTX8,,,,,,,,
大数据部,中心机房,,中心机房-B17,深圳市市民中心,B17-3,IBM X3650 M3,IBM X3650 M3,,服务器,06EBK05,,,,,,,,
大数据部,中心机房,,中心机房-B17,深圳市市民中心,B17-4,华为RH5885 V3,华为RH5885 V3,,服务器,2102311AJA10E7000010,,,,,,,,
大数据部,中心机房,,中心机房-B17,深圳市市民中心,B17-5,HP DL360 G7,HP DL360 G7,,服务器,CNG103TTVX,,,,,,,,
大数据部,中心机房,,中心机房-B17,深圳市市民中心,B17-6,HP DL360 G7,HP DL360 G7,,服务器,CNG103TTX7,,,,,,,,
大数据部,中心机房,,中心机房-B18,深圳市市民中心,B18-1,IBM X3850 X5,IBM X3850 X5,,服务器,06AX301,,,,,,,,
大数据部,中心机房,,中心机房-B18,深圳市市民中心,B18-2,IBM X3850 X5,IBM X3850 X5,,服务器,06AM443,,,,,,,,
大数据部,中心机房,,中心机房-B18,深圳市市民中心,B18-3,华为5352C,华为5352C,,服务器,2.10232E+19,,,,,,,,
大数据部,中心机房,,中心机房-C07,深圳市市民中心,C07-01,H3C S3600,H3C S3600,,网络,,,,,,,,,
大数据部,中心机房,,中心机房-C07,深圳市市民中心,C07-2,华为S5352C,华为S5352C,,服务器,,,,,,,,,
大数据部,中心机房,,中心机房-C07,深圳市市民中心,C07-3,ThinkServer RD640,ThinkServer RD640,,服务器,NC01792224,,,,,,,,
大数据部,中心机房,,中心机房-C07,深圳市市民中心,C07-4,DELL R710,DELL R710,,服务器,5P2NW2X,,,,,,,,
